scenario,subject,trial,cues,OPT,SUB,DIF,ANG,REL
B1,07,1,1,317,-302,306,39.57,0.952681388
B1,07,2,1,246,24,40,7.21,0.0975609756
B1,07,3,1,247,50,144,28.79,0.2024291498
B1,15,1,1,205,23,25,2.42,0.112195122
B1,15,2,1,142,144,217,47.39,1.014084507
B1,15,3,1,110,196,197,4.19,1.7818181818
B2,06,1,2,193,-5,67,20.29,0.0259067358
B2,06,2,2,371,-14,90,14.14,0.0377358491
B2,06,3,2,362,60,98,11.31,0.1657458564
B2,14,1,2,360,197,328,34,0.5472222222
B2,14,2,2,261,-77,293,80.51,0.2950191571
B2,14,3,2,260,52,213,42.3,0.2
B4,03,2,4,181,42,80,19.28,0.2320441989
B4,03,3,4,209,89,260,58.52,0.4258373206
B4,11,1,4,217,-4,160,43.77,0.0184331797
B4,11,2,4,264,67,278,54.1,0.2537878788
B4,11,3,4,168,179,286,54.64,1.0654761905
B6,01,1,6,218,62,78,11,0.2844036697
B6,01,2,6,385,303,376,24.97,0.787012987
B6,01,3,6,36,85,87,18.05,2.3611111111
B6,08,1,6,329,-105,436,102.69,0.3191489362
B6,08,2,6,324,-4,20,3.62,0.012345679
B6,08,3,6,287,-175,184,18.79,0.6097560976
B6,16,1,6,178,218,303,46.71,1.2247191011
B6,16,2,6,95,254,290,45.62,2.6736842105
B6,16,3,6,292,154,165,9.51,0.5273972603
B8,02,1,8,392,-139,143,5.89,0.3545918367
B8,02,2,8,326,-196,204,15.68,0.6012269939
B8,10,1,8,228,60,163,34.35,0.2631578947
B8,10,2,8,293,46,56,5.64,0.156996587
B8,10,3,8,271,66,115,17.96,0.2435424354
B8,17,1,8,193,94,110,14.09,0.4870466321
B8,17,2,8,331,51,203,32.06,0.1540785498
B8,17,3,8,203,-12,85,24.89,0.0591133005
B10,04,1,10,251,55,164,32.31,0.219123506
B10,04,2,10,354,-102,104,3.89,0.2881355932
B10,04,3,10,161,137,264,62.12,0.850931677
B10,09,1,10,408,-77,214,31.62,0.1887254902
B10,09,2,10,184,64,147,35.93,0.347826087
B10,09,3,10,132,93,114,22.15,0.7045454545
B12,05,1,12,209,64,170,38.51,0.3062200957
B12,05,2,12,220,35,130,30.67,0.1590909091
B12,05,3,12,243,-23,25,2.36,0.0946502058
B12,18,1,12,232,55,56,2.82,0.2370689655
B12,18,2,12,316,67,273,44.8,0.2120253165
B12,18,3,12,267,-76,99,16.08,0.2846441948
B12,22,1,12,240,-75,301,94.55,0.3125
B12,22,2,12,115,342,342,4.28,2.9739130435
B12,22,3,12,281,-166,167,5.63,0.590747331
B14,13,1,14,356,-190,460,119.23,0.5337078652
B14,13,2,14,412,-270,440,92.09,0.6553398058
B14,13,3,14,244,-64,411,150.59,0.262295082
B14,19,1,14,207,-77,308,131.02,0.3719806763
B14,19,2,14,73,38,184,172.22,0.5205479452
B14,19,3,14,447,-277,331,38.36,0.6196868009
B14,23,1,14,164,145,374,99.52,0.8841463415
B14,23,2,14,470,-190,484,75.7,0.4042553191
B14,23,3,14,153,83,138,33.6,0.5424836601
B16,12,1,16,113,337,340,12.1,2.982300885
B16,12,2,16,79,309,332,40.87,3.9113924051
B16,12,3,16,122,336,338,9.32,2.7540983607
B16,20,1,16,378,-89,331,57.71,0.2354497354
B16,20,2,16,141,19,138,53.94,0.134751773
B16,20,3,16,234,42,210,47.7,0.1794871795
B16,21,2,16,98,144,149,14.16,1.4693877551
B16,21,3,16,131,128,149,24,0.9770992366
